merchant,final_leaf,tier,haiku_leaf,sonnet_leaf,sonnet_conf,opus_leaf,general_category,plaid_n
u.s. post office,government_services,accepted_tiebreak,delivery_courier,government_services,0.6,government_services,council_tax_government,12205
wise,transfer_international,accepted,transfer_international,transfer_international,0.75,,transfers,2275
nugents newsagents,convenience_store,accepted,convenience_store,convenience_store,0.85,,groceries_household_essentials,1234
savers health & beauty,pharmacy,accepted,pharmacy,pharmacy,0.8,,health_medical,1223
t k maxx,department_store,accepted_tiebreak,department_store,clothing_general,0.8,department_store,general_retail_marketplaces,1195
best one,convenience_store,accepted,convenience_store,convenience_store,0.7,,groceries_household_essentials,1186
bt group,broadband_tv_phone,auto_accept,broadband_tv_phone,broadband_tv_phone,0.9,,utilities_household_bills,1182
co op group food,groceries,auto_accept,groceries,groceries,0.9,,groceries_household_essentials,1169
plum fintech,savings_transfer,accepted,savings_transfer,savings_transfer,0.85,,savings_investments,1155
lime,taxi_rideshare,accepted,taxi_rideshare,taxi_rideshare,0.7,,transport_motoring,1143
domino s pizza,takeaway,auto_accept,takeaway,takeaway,0.9,,eating_drinking_out,1141
home retail group,catalogue_retail,accepted_tiebreak,home_accessories,catalogue_retail,0.75,catalogue_retail,general_retail_marketplaces,1139
118 118 money,payday_loan,accepted,payday_loan,payday_loan,0.85,,high_cost_distress_credit,1121
whsmith,books,accepted,books,books,0.7,,entertainment_leisure,1115
p mackie,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.6,transfer_p2p,transfers,1098
rainbow riches,gambling_casino,accepted,gambling_casino,gambling_casino,0.85,,gambling,1081
electraworks ltd,gambling_casino,auto_accept,gambling_casino,gambling_casino,0.9,,gambling,1050
puregym,gym_fitness,auto_accept,gym_fitness,gym_fitness,0.9,,health_medical,1043
bolt.euo,taxi_rideshare,accepted,taxi_rideshare,taxi_rideshare,0.85,,transport_motoring,1013
smyths,toys,auto_accept,toys,toys,0.9,,general_retail_marketplaces,1011
lloyds bank,account_charge,accepted,account_charge,account_charge,0.85,,fees_charges,1005
creation.co.uk,retail_finance_repayment,accepted,retail_finance_repayment,retail_finance_repayment,0.85,,credit_loan_repayments,997
steam,gaming_console_pc,auto_accept,gaming_console_pc,gaming_console_pc,0.9,,entertainment_leisure,996
moorcroft group,debt_collection,auto_accept,debt_collection,debt_collection,0.92,,high_cost_distress_credit,987
cash machine,cash_withdrawal,auto_accept,cash_withdrawal,cash_withdrawal,0.95,,cash,952
m&s simply food,groceries,auto_accept,groceries,groceries,0.92,,groceries_household_essentials,946
cd b&m,discount_store,auto_accept,discount_store,discount_store,0.9,,groceries_household_essentials,943
snappy,groceries,accepted_tiebreak,convenience_store,groceries,0.75,groceries,groceries_household_essentials,941
easy saver,savings_transfer,accepted,savings_transfer,savings_transfer,0.85,,savings_investments,922
whatnot,marketplace_general,accepted,marketplace_general,marketplace_general,0.8,,general_retail_marketplaces,918
sunderland,unclassified_other,context_dependent,gambling_casino,gambling_unspecified,0.55,convenience_store,unclassified,912
32red,gambling_casino,auto_accept,gambling_casino,gambling_casino,0.9,,gambling,895
p.o.,unclassified_other,abstain_confirmed,unclassified_other,unclassified_other,0.4,,unclassified,887
cd ppoint,convenience_store,accepted_tiebreak,convenience_store,convenience_store,0.5,convenience_store,groceries_household_essentials,876
ad free for primevideo,streaming,auto_accept,streaming,streaming,0.9,,digital_subscriptions_services,859
sumup,unclassified_other,abstain_residual,unclassified_other,retail_small_independent,0.4,payment_intermediary,unclassified,859
s tasker,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.55,transfer_p2p,transfers,858
e fuels,unclassified_other,abstain_confirmed,unclassified_other,energy,0.55,unclassified_other,unclassified,845
edf uk card payments,energy,auto_accept,energy,energy,0.92,,utilities_household_bills,837
bally's,gambling_casino,accepted,gambling_casino,gambling_casino,0.88,,gambling,829
www.amazon.uk.co,marketplace_amazon,accepted,marketplace_amazon,marketplace_amazon,0.85,,general_retail_marketplaces,824
national health service,medicine,accepted_tiebreak,medicine,pharmacy,0.6,medicine,health_medical,797
newday,credit_card_repayment,accepted,credit_card_repayment,credit_card_repayment,0.85,,credit_loan_repayments,793
thomas furniss,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.6,transfer_p2p,transfers,778
paybyphone,car_parking,auto_accept,car_parking,car_parking,0.9,,transport_motoring,775
livescorebet,gambling_betting,auto_accept,gambling_betting,gambling_betting,0.9,,gambling,773
youtube,streaming,auto_accept,streaming,streaming,0.9,,digital_subscriptions_services,768
edf energy,energy,auto_accept,energy,energy,0.95,,utilities_household_bills,767
win bet online ltd,gambling_betting,accepted_tiebreak,gambling_casino,gambling_betting,0.85,gambling_betting,gambling,760
darren dolan,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.65,transfer_p2p,transfers,760
butlin's,holiday_uk,accepted,holiday_uk,holiday_uk,0.75,,travel_holidays,754
that prize guy ltd,prize_competitions,auto_accept,prize_competitions,prize_competitions,0.9,,gambling,739
cls,unclassified_other,abstain_confirmed,unclassified_other,unclassified_other,0.4,,unclassified,718
nando's,restaurant_cafe,auto_accept,restaurant_cafe,restaurant_cafe,0.9,,eating_drinking_out,715
j nainu,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.55,transfer_p2p,transfers,712
bee network,public_transport_rail_coach,accepted,public_transport_rail_coach,public_transport_rail_coach,0.7,,transport_motoring,693
m steller,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.55,transfer_p2p,transfers,678
z jaskulski,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.55,transfer_p2p,transfers,674
beenetwork,public_transport_rail_coach,accepted_tiebreak,public_transport_rail_coach,public_transport_rail_coach,0.65,public_transport_rail_coach,transport_motoring,673
merseyside entertainments,public_transport_rail_coach,accepted_tiebreak,public_transport_rail_coach,public_transport_rail_coach,0.6,public_transport_rail_coach,transport_motoring,668
pp online,unclassified_other,abstain_residual,payment_intermediary,unclassified_other,0.3,unclassified_card_spend,unclassified,667
pokerstars,gambling_casino,auto_accept,gambling_casino,gambling_casino,0.9,,gambling,666
cox,transfer_p2p,accepted_tiebreak,broadband_tv_phone,transfer_p2p,0.55,transfer_p2p,transfers,661
trading,investment_trading,accepted,investment_trading,investment_trading,0.85,,savings_investments,659
ring basic plan,online_services,human_reviewed,home_accessories,utility_other,0.5,online_services,digital_subscriptions_services,656
telematic interactivbg,gambling_unspecified,human_reviewed,unclassified_other,gambling_unspecified,0.6,foreign_spend_unspecified,gambling,654
l&g insurance,insurance_general,accepted,insurance_general,insurance_general,0.8,,insurance,648
exchanged to sol,crypto,accepted_tiebreak,crypto,crypto,0.6,crypto,savings_investments,640
nandos.co.uk,restaurant_cafe,auto_accept,restaurant_cafe,restaurant_cafe,0.95,,eating_drinking_out,636
aaa membership,breakdown_cover,accepted,breakdown_cover,breakdown_cover,0.85,,transport_motoring,632
prime video rent buy,streaming,accepted,streaming,streaming,0.85,,digital_subscriptions_services,632
prime video add-on,streaming,accepted,streaming,streaming,0.85,,digital_subscriptions_services,627
electraworks,gambling_casino,auto_accept,gambling_casino,gambling_casino,0.9,,gambling,624
barclays savings,savings_transfer,accepted,savings_transfer,savings_transfer,0.85,,savings_investments,607
human forest,unclassified_other,abstain_residual,unclassified_other,bicycle,0.7,transport_other,unclassified,593
biola olatunji,transfer_p2p,accepted,transfer_p2p,transfer_p2p,0.75,,transfers,591
one below,discount_store,accepted,discount_store,discount_store,0.75,,groceries_household_essentials,580
voi,bicycle,accepted_general,taxi_rideshare,bicycle,0.7,transport_other,transport_motoring,575
cd sumup,payment_intermediary,accepted_tiebreak,payment_intermediary,retail_small_independent,0.4,payment_intermediary,general_retail_marketplaces,575
