merchant_raw,description_raw,amount,direction,gold_leaf
Hot Water Comedy Club,Hot Water Comedy Club Hot Water Comedy Club  SPEKE ROAD    GBR,8.9,debit,theatre
National Offender Management Service,"BILL PAYMENT VIA FASTER PAYMENT TO NOMS KELLY REFERENCE CHLOE , MANDATE NO 45",40.0,debit,government_services
Shawbrook,"DIRECT DEBIT PAYMENT TO SHAWBROOK BANK REF 83900332, MANDATE NO 0068",299.53,debit,personal_loan_repayment
7days Performance,7days Performance,8.45,debit,prize_competitions
Prize Paradise Ltd,Prize Paradise  Prize Paradise Ltd     Bexleyheath   GBR,1.34,debit,prize_competitions
Virgin Money Credit Card,VIRGIN MONEY CREDI,220.0,debit,credit_card_repayment
Gadcet,Contactless Payment GADCET APPLEPAY 6759,45.0,debit,gadgets
DottyBingo.com,Visa purchase dottybingo.com,20.0,debit,gambling_bingo
Xaucoin,Exchanged to XAU,19.91,debit,crypto
Brake Bros Ltd,BRAKE BROS FOODSER 1797274,447.7,debit,cash_and_carry
Nottingham City Council,NOTTM CITY COUNC  47919485 DDR,153.0,debit,council_tax
Robinson Way,ROBINSON WAY AND C,1.0,debit,debt_collection
Barnsley Metropolitan Borough Council,BMBC ECOMM  ON 26 JUL BCC,48.15,debit,government_services
Playtka,9231 14MAR25      PLAYTKA*SOL       ITAIREGHVIP       INTERNET US,22.39,debit,gaming_mobile
Excel Vending,Excel Vending Ltd NYA*Excel Vending Ltd  Aberystwyth   GBR,2.0,debit,confectionary
Rhino,Rhino,30.0,debit,music_other
Graze.com,Graze Cafe GRAZE Cafe             Berkeley      GBR,3.8,debit,restaurant_cafe
BaxterStorey,9234 11AUG24 CD   BA-TBJ            (BAXTERSTOREY)    HOUNSLOW GB,4.05,debit,catering
Switch Rentals,SWITCH RENTALS,7.0,debit,retail_finance_repayment
European Food,CARD PAYMENT TO SPALDING EUROPEAN FOOD ON 21-11-2024,12.0,debit,groceries_specialist
ONMO,Visa purchase ONMO CUSTOMER PAYMENT,60.0,debit,credit_card_repayment
NSPCC Direct Debit Donation,nspcc.org.uk/santa Nspcc.org.uk,2.0,debit,charitable_donation
Community Integrated Care,COMMUNITY INTEGRAT,2009.7,credit,salary
Kaleidoscope,KALEIDOSCOPE,9.91,debit,catalogue_retail
Theme Park Tickets,CREALY THEME PARK CREALY THEME PARK AND RES,9.8,debit,days_out
Firstsource,Firstsource Firstsource Solutions UK Ltd,25.0,credit,refund_received
d2,BK PETERBOROUGH D2 BK PETERBOROUGH D257B1E3-,26.96,debit,takeaway
Cash ASAP,cashasap.co.uk,78.15,debit,payday_loan
The Home Office,Bank credit GBS RE HOME OFFICE ************2672,24.44,credit,refund_received
Tesco Credit Card,TESCO CREDIT CARDS,50.0,debit,credit_card_repayment
Bubble Cash,BUBBLE CASH CD 8088,5.0,debit,gambling_casino
Cardiff Council,"DIRECT DEBIT PAYMENT TO CARDIFF CO REF 21819425, MANDATE NO 0034",125.0,debit,council_tax
Steakout,5353 01APR23 CD   STEAKOUT STRATFORDLONDON GB,110.85,debit,restaurant_cafe
The Friar Penketh,FRIAR PENKETH,7.4,debit,pub_bar
Nationwide CCard,Payment to NBS CREDIT CARD ************1604,188.64,debit,credit_card_repayment
Nationwide Personal Loans,Direct debit NBS PERSONAL LOANS ************1752,305.84,debit,personal_loan_repayment
Watford Junction,WATFORD JCT SST,2.95,debit,public_transport_rail_coach
Simply Classic,NYA*Simply Classic,1.0,debit,restaurant_cafe
Feel Good Contact Lenses,Feel Good Contacts PAYPAL *FGCCONTACT     07838797271   GBR,16.5,debit,optician
Cherwell District Council,CHERWELL DC,220.2,debit,council_tax
Transdev Blazefield,TRANSDEV BLAZEFIEL  ON 25 SEP CLP Transdev Blazefield,2.0,debit,public_transport_rail_coach
Raffle House,www.rafflehouse.co  ON 01 JUL BCC WWW.RAFFLEHOUSE.COM,10.0,debit,prize_competitions
Thrift,HARRINGTON & LEE  THRIFT CLUB       VIA MOBILE - PYMT,50.0,credit,savings_transfer
SpareRoom,WWW.SPAREROOM.CO.UMANCHESTER,12.99,debit,housing_other
The Money Platform,MGP*MoneyPlatform,0.1,debit,payday_loan
Kaspas,KASPAS NEWPORT,19.65,debit,restaurant_cafe
Seethelight,SEETHELIGHT,31.0,debit,broadband_tv_phone
NCO Europe,NCO EUROPE LTD,35.0,debit,debt_collection
Warranty & Creditor Services,WARRANTY&CREDITOR  ************1926 DDR,9.99,debit,insurance_other
Alpine Vending,3520 04JUL23 C    ALPINE VENDING CO LIMI              WIRRAL GB,0.8,debit,confectionary
Vivid,VIVID WWW.VIVIDHOMES.CO.UK   INTERNET      GBR,600.0,debit,rent
Cosmo,Cosmo Belfast COSMO BELFAST          BELFAST       GBR,110.29,debit,restaurant_cafe
First West Of England Limited,"FIRST WEST OF ENGLAND (VIA APPLE PAY), ON 25-06-2024",2.0,debit,public_transport_rail_coach
The Horse & Jockey,Horse & Jockey HORSE AND JOCKEY       MANCHESTER    GBR,10.6,debit,pub_bar
Knowsley Safari,"KNOWSLEY SAFARI PARK (VIA APPLE PAY), ON 28-04-2025",45.0,debit,days_out
Beefeater,BEEFEATER 40010495,21.98,debit,restaurant_cafe
The Riverside Vegetaria,0123 07JUN24 CD   THE RIVERSIDE     ROTHERHAM GB,1.89,debit,restaurant_cafe
Foris Dax,ZH4019886 Foris Dax Mt Limited,20.0,debit,crypto
Mr Spin,MR SPIN CASINO  ON 29 AUG BCC,60.0,debit,gambling_casino
GWR Catering,GWR FOOD ON TRAIN,4.35,debit,catering
Scottish Gas,SCOTTISH GAS,89.94,debit,energy
Northern Ireland Railways,POSC13JUN NIRAILWAYS,21.5,debit,public_transport_rail_coach
Debt & Revenue Services,DEBT & REVENUE SER DEBT & REVENUE SERVICE,35.0,debit,debt_collection
The Perfect Cellar,THE PERFECT SCOOP,9.5,debit,alcohol_wine
Lloyds Banking Group Loan,LBG LOAN,131.36,debit,personal_loan_repayment
iptiQ,IPTIQ LIFE PL60224,20.42,debit,insurance_life
EIS,EIS DIRECT DEBITS,7.79,debit,trade_union
Feather and Black,SQ *GRAYS AND FEATHER  Grays And Feather,7.9,debit,pub_bar
TSB Loans,LOANS TSB  100301234455 DDR,429.23,debit,personal_loan_repayment
South Staffordshire Water,SOUTH STAFFS WATER,42.32,debit,water
CR LTD,Visa credit CR LTD WORNWOOD S EC2M,1000.0,credit,gambling_unspecified
Fintern,8800 28NOV24      ABOUND BY FINTERN LONDON GB,177.41,debit,personal_loan_repayment
Paragon Meed Ltd,PARAGON MEED LIMIT  PARAGON MEED LTD BGC,201.75,credit,income_agency_work
Ikano Bank,IKANO BANK        INITIAL PAYMENT,39.0,debit,retail_finance_repayment
Liverpool Victoria Insurance Company Ltd,"Lvic, 3400097685301",8.31,debit,insurance_general
Hopa Casino,ASG Hopa GIBRALTAR ON 08 JUN BCC,46.13,debit,gambling_casino
Knights Hill Service Station,Knights Hill Svs St,10.0,debit,fuel
Rias Insurance,To Rias,91.85,debit,insurance_general
Original Factory Shop,ORIGINAL FACTORY S  ON 31 MAY CLP,35.25,debit,discount_store
Sterling Meat Company Limited,STERLING MEAT COMP STERLING MEAT COMPANY LTD,21.6,debit,groceries_specialist
Venda Valet Limited,Contactless Payment VENDA VALET,2.5,debit,confectionary
Baynes Local,BAYNES LOCAL      DAGENHAM,10.9,debit,convenience_store
Harry Potter World,Visa purchase SP HARRY POTTER UK E 9522,33.95,debit,days_out
CREPEAFFAIRE,Crepeaffaire Summe Crepeaffaire Summertow,22.35,debit,restaurant_cafe
Bulb,"DIRECT DEBIT PAYMENT TO BULB ENERGY REF VFGAH8J, MANDATE NO 0038",235.84,debit,energy
Nationwide Home Insurance,Direct debit NATIONWIDE HOMEINS ************4102,24.45,debit,insurance_home
Cadbury Gifts Direct,Cadbury Cadbury Gifts Direct   Ripon         GBR,17.19,debit,confectionary
VW Finance,VWFS UK LIMITED  ************1439 DDR Volkswagen,441.96,debit,car_finance_repayment
White Hat Gaming,THIRD PARTY PAYMENT MADE VIA FASTER PAYMENT TO WHITE HAT GAMING REFERENCE Y82WZ4IW2STPZ5F5U8 SANTANDER REFERENCE Y82WZ4IW2STPZ5F5U8,10.0,debit,gambling_casino
Bank of Scotland Personal Loans,BOS LOAN,411.54,debit,personal_loan_repayment
AX Paris,CARD PAYMENT TO PAYPAL *AX PARIS ON 16-01-2024,50.95,debit,clothing_womens
ReAssure,REASSURE LTD,42.14,credit,pension_received
Preston Bus Limited,0864 29NOV24 C    PRESTON BUS       PRESTON GB,2.0,debit,public_transport_rail_coach
Health Care 4 All,Payment from Reflex Health Care Ltd,700.0,credit,income_agency_work
Aller Vale Garage,9820 29JUL23 CD   ALLER VALE GARAGE LTD               NEWTON ABBOT GB,32.24,debit,fuel
Skyline Direct,SKYLINE DIRECT LTD,25.0,debit,payday_loan
Glamour Point,GLAMOUR POINT,12.98,debit,beauty_treatment
Montagu Pyke,Wetherspoon MONTAGU PYKE           LONDON        GBR,21.15,debit,pub_bar
Millie's Cookies,MILLIES COOKIES  ON 23 DEC CLP,3.38,debit,confectionary
Bakkavor,Bank credit BAKKAVOR GROUP ************3216,406.2,credit,salary
Benamic, Benamic Unlimited Company,200.0,credit,cashback
York City Council,City of York,14.15,debit,government_services
South West Trains,SWRAILWAYSELFSERVE,5.0,debit,public_transport_rail_coach
Sweet Express,4897 06JUL23 CD   SWEET EXPRESS     LONDON GB,2.1,debit,confectionary
etika UK,ETIKA,13.63,debit,retail_finance_repayment
BCD Credit Union,BCD credit union                         CHERYL KERNACHAN,6.0,debit,credit_union_repayment
Greenwich Leisure,F651C09226FB65D05A Greenwich Leisure LTD,19.45,debit,gym_fitness
Rangers Lotto,RANGERS LOTTERIES                     REFERENCE: RFC13813,1.0,debit,gambling_lottery
Brew House,Bath Brew House,8.25,debit,pub_bar
Esquires Coffee House,ESQUIRES COFFEE HO  ON 02 AUG CLP,8.1,debit,restaurant_cafe
First Manchester,FIRST MANCHESTER,2.0,debit,public_transport_rail_coach
Magical Vegas,MAGICALVEGAS,50.0,credit,gambling_unspecified
Cosy Club,COSY CLUB CARDIFF,19.0,debit,restaurant_cafe
mFortune,MFORTUNE CASINO,10.0,debit,gambling_casino
Islington Council,WWW.ISLINGTON.GOV.02075272000,2.61,debit,government_services
JJ Foodservice,Jj Food Store JJ FOOD STORE          LUTON         GBR,7.22,debit,groceries
Belvoir,BELVOIR TAMWORTH  14 SPINNER CLOSE FT,70.0,debit,estate_agent
Vale of Glamorgan,4295 27JUL24 CD   VALE OF GLAMORGAN BARRY GB,4.0,debit,government_services
Teignbridge Council,TEIGNBRIDGE D C  01 080572357 DDR,120.0,debit,council_tax
Bradford Metropolitan Council,BRADFORD METROPOLI,100.0,debit,council_tax
The Hobgoblin,HOBGOBLIN  ON 04 DEC CLP,5.0,debit,pub_bar
Stormfront,KLARNA  BPAK9AE-STORMFRONT DDR,79.54,debit,computing_devices
The Duke of Edinburgh,DUKE OF EDINBURGH DUKE OF EDINBURGH WINK,10.05,debit,pub_bar
Cornish Bakery,CARD PAYMENT TO CORNISH BAKERY ON 07-11-2024,2.7,debit,restaurant_cafe
Arvato Financial Solutions,ARVATO FINANCIAL S,20.0,debit,debt_collection
Baynes Family Bake,BAYNES FAMILY BAKE BAYNES FAMILY BAKERS,6.48,debit,restaurant_cafe
Rochdale Metropolitan Borough Council,ROCHDALE MBC,164.0,debit,council_tax
Citymain,CITYMAIN ADMIN RE  MUINS.244566680 DDR,9.99,debit,insurance_general
Camden Food Co,Camden Food Co. CAMDEN FOOD COMPAN     LEEDS         GBR,4.99,debit,restaurant_cafe
Willows Food Store,WILLOWS FOODSTORE  ON 15 MAR CLP,4.25,debit,convenience_store
Staffordshire Moorlands District Council,STAFFORDSHIRE MOOR,30.0,debit,council_tax
Credit Security,Direct debit CREDIT SECURITY LT ************6269,5.0,debit,debt_collection
Jones Long LaSalle,6459 15DEC24 CD   WWW.JLL.CO.UK     0208 3139037 GB,3.4,debit,property_management
Halifax Credit Card,HALIFAX CLARITY MA,20.0,debit,credit_card_repayment
XOYO London,XOYO SQ *XOYO               London        GBR,130.0,debit,night_club
Britbet Racing,Britbet Racing Llp,15.0,debit,gambling_betting
West Cheshire Credit Union,WEST CHESHIRE CRED BGC  WEST CHESHIRE CRED BGC ,17.5,credit,loan_disbursement
Updraft Credit,UPDRAFT CREDIT,113.95,debit,personal_loan_repayment
Wakefield District Council,"Wmdc Income Accoun, 4722217835072",118.0,debit,council_tax
Glossy Bingo,glossybingo.com  ON 09 MAR BCC,10.0,debit,gambling_bingo
Sodexo,Contactless Payment SODEXHO LTD 343151 APPLEPAY 4699,1.78,debit,catering
Tappily,Tappily BGC  Tappily BGC ,20.0,credit,loan_disbursement
Moneyline,MONEYLINE CYMRU LO,27.95,debit,personal_loan_repayment
tickr,CIRCA5000              Tickr,12.0,debit,investment_trading
Bounty Competitions Ltd,BOUNTY COMPETITION BOUNTY COMPETITIONS LT,0.99,debit,prize_competitions
Michells & Butler,M AND B LTD,276.48,credit,salary
Confetti,E&I CONFETTI,56.0,debit,gifts_flowers
RBS Credit Card,RBS MASTERCARD,54.64,debit,credit_card_repayment
Red Shop Watford Ltd,Contactless Payment Red Shop Watford Ltd APPLEPAY 4133,11.0,debit,convenience_store
SpinandWin,SPINANDWIN        08082386061,10.0,debit,gambling_casino
CP Plus,CP PLUS LIMITED,1.0,debit,car_parking
Auntie Anne's Pretzels,INT'L 0096527120  AUNTIE ANNE'S-MY TKUALA LUMPUR      MYR 9.00 @ 5.6250  Visa Rate,1.6,debit,foreign_spend_unspecified
Boost Juice Bars,Boost Juice Bars,6.9,debit,restaurant_cafe
Vending Enterprises,VENDING ENTERPRISE VENDING ENTERPRISES,2.3,debit,confectionary
InControl Debt Solutions Ltd,IN CONTROL DEBT SOFP 30/05/************6795000N,83.52,debit,debt_management_plan
Pleasuredrome,CARD PAYMENT TO SE1UK LIMITED ON 31-03-2023,20.0,debit,adult_entertainment
Hawkshead,5072 24DEC23 CD   HAWKSHEAD BEER    HALL              CUMBRIA GB,4.35,debit,pub_bar
ASG Spin,ASG HeySpin MALTA ON 12 JAN BCC,10.25,debit,gambling_casino
Old School House,1387 10MAR25 CD   OLD SCHOOL HOUSE  (ABER             ABERDEEN GB,12.48,debit,pub_bar
